parent_sked,parent_sked_part,in_a_group,db_table,ordering,db_name,xpath,irs_type,db_type,line_number,description,version_start,version_end
IRS990,part_ix,False,part_ix,501,Advrtsng_TtlAmt,/IRS990/AdvertisingGrp/TotalAmt,USAmountType,BigInteger,Part IX Line 12; col (A),Advertising; Total,2013,
IRS990,part_0,False,part_0,479,AllAffltsInclddInd,/IRS990/AllAffiliatesIncludedInd,,Text,H(b),All affiliates included?,2013,
IRS990,part_viii,False,part_viii,226,AllOthrCntrbtnsAmt,/IRS990/AllOtherContributionsAmt,USAmountType,BigInteger,Part VIII Line 1f,"All other contributions, gifts, grants, and similar amounts not included in above",2013,
IRS990,part_ix,False,part_ix,552,AllOthrExpnss_FndrsngAmt,/IRS990/AllOtherExpensesGrp/FundraisingAmt,USAmountType,BigInteger,Part IX Line 24e; col (D),All other expenses; Fundraising,2013,
IRS990,part_ix,False,part_ix,550,AllOthrExpnss_MngmntAndGnrlAmt,/IRS990/AllOtherExpensesGrp/ManagementAndGeneralAmt,USAmountType,BigInteger,Part IX Line 24e; col (C),All other expenses; Management and general,2013,
IRS990,part_ix,False,part_ix,224,AllOthrExpnss_PrgrmSrvcsAmt,/IRS990/AllOtherExpensesGrp/ProgramServicesAmt,USAmountType,BigInteger,Part IX Line 24e; col (B),All other expenses; Program services,2013,
IRS990,part_ix,False,part_ix,309,AllOthrExpnss_TtlAmt,/IRS990/AllOtherExpensesGrp/TotalAmt,USAmountType,BigInteger,Part IX Line 24e; col (A),All other expenses; Total,2013,
IRS990,part_0,False,part_0,447,AmnddRtrnInd,/IRS990/AmendedReturnInd,CheckboxType,String(length=1),B,Indicates this return is an amended return,2013,
IRS990,part_vi,False,part_vi,369,AnnlDsclsrCvrdPrsnInd,/IRS990/AnnualDisclosureCoveredPrsnInd,BooleanType,String(length=5),Part VI Section B Line 12b,Annual disclosure by covered persons?,2013,
IRS990,part_0,False,part_0,47,ApplctnPndngInd,/IRS990/ApplicationPendingInd,CheckboxType,String(length=1),B,Indicates this return has an application pending,2020,
IRS990,part_xii,False,part_xii,162,AdtCmmttInd,/IRS990/AuditCommitteeInd,BooleanType,String(length=5),Part XII Line 2c,Does the organization have an audit committee?,2013,
IRS990,part_iv,False,part_iv,256,AdtdFnnclStmtAttInd,/IRS990/AuditedFinancialStmtAttInd,,Text,Part IV Line 20b,Audited financial statement attached?,2013,
IRS990,part_v,False,part_v,270,BckpWthldCmplncInd,/IRS990/BackupWthldComplianceInd,BooleanType,String(length=5),Part V Line 1c,Compliance with backup witholding?,2013,
IRS990,part_ix,False,part_ix,330,BnftsTMmbrs_PrgrmSrvcsAmt,/IRS990/BenefitsToMembersGrp/ProgramServicesAmt,USAmountType,BigInteger,Part IX Line 4; col (B),Benefits paid to or for members; Program services,2013,
IRS990,part_ix,False,part_ix,43,BnftsTMmbrs_TtlAmt,/IRS990/BenefitsToMembersGrp/TotalAmt,USAmountType,BigInteger,Part IX Line 4; col (A),Benefits paid to or for members; Total,2013,
IRS990,part_vi,False,part_vi,531,BsnssNm_BsnssNmLn1Txt,/IRS990/BooksInCareOfDetail/BusinessName/BusinessNameLine1,BusinessNameLine1Type,String(length=75),Part VI Section C Line 20,The books are in care of; Name - Business; Business name line 1,2013,2013
IRS990,part_vi,False,part_vi,220,BsnssNm_BsnssNmLn1Txt,/IRS990/BooksInCareOfDetail/BusinessName/BusinessNameLine1Txt,BusinessNameLine1Type,String(length=75),Part VI Section C Line 20,The books are in care of; Name - Business; Business name line 1,2014,
IRS990,part_vi,False,part_vi,262,BsnssNm_BsnssNmLn2Txt,/IRS990/BooksInCareOfDetail/BusinessName/BusinessNameLine2,BusinessNameLine2Type,String(length=75),Part VI Section C Line 20,The books are in care of; Name - Business; Business name line 2,2013,2013
IRS990,part_vi,False,part_vi,202,BsnssNm_BsnssNmLn2Txt,/IRS990/BooksInCareOfDetail/BusinessName/BusinessNameLine2Txt,BusinessNameLine2Type,String(length=75),Part VI Section C Line 20,The books are in care of; Name - Business; Business name line 2,2014,
IRS990,part_vi,False,part_vi,121,FrgnAddrss_AddrssLn1Txt,/IRS990/BooksInCareOfDetail/ForeignAddress/AddressLine1,StreetAddressType,String(length=35),Part VI Section C Line 20,The books are in care of; Address - Foreign; Address line 1,2013,2013
IRS990,part_vi,False,part_vi,623,FrgnAddrss_AddrssLn1Txt,/IRS990/BooksInCareOfDetail/ForeignAddress/AddressLine1Txt,StreetAddressType,String(length=35),Part VI Section C Line 20,The books are in care of; Address - Foreign; Address line 1,2014,
IRS990,part_vi,False,part_vi,439,FrgnAddrss_AddrssLn2Txt,/IRS990/BooksInCareOfDetail/ForeignAddress/AddressLine2,StreetAddressType,String(length=35),Part VI Section C Line 20,The books are in care of; Address - Foreign; Address line 2,2013,2013
IRS990,part_vi,False,part_vi,553,FrgnAddrss_AddrssLn2Txt,/IRS990/BooksInCareOfDetail/ForeignAddress/AddressLine2Txt,StreetAddressType,String(length=35),Part VI Section C Line 20,The books are in care of; Address - Foreign; Address line 2,2014,
IRS990,part_vi,False,part_vi,297,FrgnAddrss_CtyNm,/IRS990/BooksInCareOfDetail/ForeignAddress/City,,Text,Part VI Section C Line 20,The books are in care of; Address - Foreign; City,2013,2013
IRS990,part_vi,False,part_vi,91,FrgnAddrss_CtyNm,/IRS990/BooksInCareOfDetail/ForeignAddress/CityNm,,Text,Part VI Section C Line 20,The books are in care of; Address - Foreign; City,2014,
IRS990,part_vi,False,part_vi,397,FrgnAddrss_CntryCd,/IRS990/BooksInCareOfDetail/ForeignAddress/Country,CountryType,String(length=2),Part VI Section C Line 20,The books are in care of; Address - Foreign; Country,2013,2013
IRS990,part_vi,False,part_vi,196,FrgnAddrss_CntryCd,/IRS990/BooksInCareOfDetail/ForeignAddress/CountryCd,CountryType,String(length=2),Part VI Section C Line 20,The books are in care of; Address - Foreign; Country,2014,
IRS990,part_vi,False,part_vi,101,FrgnAddrss_FrgnPstlCd,/IRS990/BooksInCareOfDetail/ForeignAddress/ForeignPostalCd,,Text,Part VI Section C Line 20,The books are in care of; Address - Foreign; Postal code,2014,
IRS990,part_vi,False,part_vi,390,FrgnAddrss_FrgnPstlCd,/IRS990/BooksInCareOfDetail/ForeignAddress/PostalCode,,Text,Part VI Section C Line 20,The books are in care of; Address - Foreign; Postal code,2013,2013
IRS990,part_vi,False,part_vi,425,FrgnAddrss_PrvncOrSttNm,/IRS990/BooksInCareOfDetail/ForeignAddress/ProvinceOrState,,Text,Part VI Section C Line 20,The books are in care of; Address - Foreign; Province or state,2013,2013
IRS990,part_vi,False,part_vi,383,FrgnAddrss_PrvncOrSttNm,/IRS990/BooksInCareOfDetail/ForeignAddress/ProvinceOrStateNm,,Text,Part VI Section C Line 20,The books are in care of; Address - Foreign; Province or state,2014,
IRS990,part_vi,False,part_vi,561,BksInCrOfDtl_PrsnNm,/IRS990/BooksInCareOfDetail/PersonNm,PersonNameType,String(length=35),Part VI Section C Line 20,The books are in care of; Name - Person,2013,
IRS990,part_vi,False,part_vi,576,BksInCrOfDtl_PhnNm,/IRS990/BooksInCareOfDetail/PhoneNum,PhoneNumberType,String(length=10),Part VI Section C Line 20,The books are in care of; Telephone number,2013,
IRS990,part_vi,False,part_vi,64,USAddrss_AddrssLn1Txt,/IRS990/BooksInCareOfDetail/USAddress/AddressLine1,StreetAddressType,String(length=35),Part VI Section C Line 20,The books are in care of; Address - US; Address line 1,2013,2013
IRS990,part_vi,False,part_vi,371,USAddrss_AddrssLn1Txt,/IRS990/BooksInCareOfDetail/USAddress/AddressLine1Txt,StreetAddressType,String(length=35),Part VI Section C Line 20,The books are in care of; Address - US; Address line 1,2014,
IRS990,part_vi,False,part_vi,170,USAddrss_AddrssLn2Txt,/IRS990/BooksInCareOfDetail/USAddress/AddressLine2,StreetAddressType,String(length=35),Part VI Section C Line 20,The books are in care of; Address - US; Address line 2,2013,2013
IRS990,part_vi,False,part_vi,579,USAddrss_AddrssLn2Txt,/IRS990/BooksInCareOfDetail/USAddress/AddressLine2Txt,StreetAddressType,String(length=35),Part VI Section C Line 20,The books are in care of; Address - US; Address line 2,2014,
IRS990,part_vi,False,part_vi,113,USAddrss_CtyNm,/IRS990/BooksInCareOfDetail/USAddress/City,CityType,String(length=22),Part VI Section C Line 20,The books are in care of; Address - US; City,2013,2013
IRS990,part_vi,False,part_vi,578,USAddrss_CtyNm,/IRS990/BooksInCareOfDetail/USAddress/CityNm,CityType,String(length=22),Part VI Section C Line 20,The books are in care of; Address - US; City,2014,
IRS990,part_vi,False,part_vi,92,USAddrss_SttAbbrvtnCd,/IRS990/BooksInCareOfDetail/USAddress/State,StateType,String(length=2),Part VI Section C Line 20,The books are in care of; Address - US; State,2013,2013
IRS990,part_vi,False,part_vi,186,USAddrss_SttAbbrvtnCd,/IRS990/BooksInCareOfDetail/USAddress/StateAbbreviationCd,StateType,String(length=2),Part VI Section C Line 20,The books are in care of; Address - US; State,2014,
IRS990,part_vi,False,part_vi,28,USAddrss_ZIPCd,/IRS990/BooksInCareOfDetail/USAddress/ZIPCd,ZIPCodeType,String(length=15),Part VI Section C Line 20,The books are in care of; Address - US; ZIP code,2014,
IRS990,part_vi,False,part_vi,489,USAddrss_ZIPCd,/IRS990/BooksInCareOfDetail/USAddress/ZIPCode,ZIPCodeType,String(length=15),Part VI Section C Line 20,The books are in care of; Address - US; ZIP code,2013,2013
IRS990,part_iv,False,part_iv,108,BsnssRlnWthOffcrEntInd,/IRS990/BusinessRlnWith35CtrlEntInd,,Text,Part IV Line 28c,"Officer, etc. of entity with business relationship?",2019,
IRS990,part_iv,False,part_iv,393,BsnssRlnWthFmMmInd,/IRS990/BusinessRlnWithFamMemInd,,Text,Part IV Line 28b,Business relationship thru family member?,2013,
IRS990,part_iv,False,part_iv,363,BsnssRlnWthOffcrEntInd,/IRS990/BusinessRlnWithOfficerEntInd,,Text,Part IV Line 28c,"Officer, etc. of entity with business relationship?",2013,2018
IRS990,part_iv,False,part_iv,158,BsnssRlnWthOrgMmInd,/IRS990/BusinessRlnWithOrgMemInd,,Text,Part IV Line 28a,Business relationship with organization?,2013,
IRS990,part_i,False,part_i,52,CYBnftsPdTMmbrsAmt,/IRS990/CYBenefitsPaidToMembersAmt,USAmountType,BigInteger,Part I Line 14,Benefits paid to members - current year,2013,
IRS990,part_i,False,part_i,366,CYCntrbtnsGrntsAmt,/IRS990/CYContributionsGrantsAmt,USAmountType,BigInteger,Part I Line 8,Contributions and grants - current year,2013,
IRS990,part_i,False,part_i,433,CYGrntsAndSmlrPdAmt,/IRS990/CYGrantsAndSimilarPaidAmt,USAmountType,BigInteger,Part I Line 13,Grants and similar amounts - current year,2013,
IRS990,part_i,False,part_i,269,CYInvstmntIncmAmt,/IRS990/CYInvestmentIncomeAmt,USAmountType,BigInteger,Part I Line 10,Investment income - current year,2013,
IRS990,part_i,False,part_i,90,CYOthrExpnssAmt,/IRS990/CYOtherExpensesAmt,USAmountType,BigInteger,Part I Line 17,Other expenses - current year,2013,
IRS990,part_i,False,part_i,502,CYOthrRvnAmt,/IRS990/CYOtherRevenueAmt,USAmountType,BigInteger,Part I Line 11,Other revenue - current year,2013,
IRS990,part_i,False,part_i,46,CYPrgrmSrvcRvnAmt,/IRS990/CYProgramServiceRevenueAmt,USAmountType,BigInteger,Part I Line 9,Program service revenue - current year,2013,
IRS990,part_i,False,part_i,457,CYRvnsLssExpnssAmt,/IRS990/CYRevenuesLessExpensesAmt,USAmountType,BigInteger,Part I Line 19,Revenues less expenses - current year,2013,
IRS990,part_i,False,part_i,574,CYSlrsCmpEmpBnftPdAmt,/IRS990/CYSalariesCompEmpBnftPaidAmt,USAmountType,BigInteger,Part I Line 15,"Salaries, etc - current year",2013,
IRS990,part_i,False,part_i,141,CYTtlExpnssAmt,/IRS990/CYTotalExpensesAmt,USAmountType,BigInteger,Part I Line 18,Total Expenses - current year,2013,
IRS990,part_i,False,part_i,102,CYTtlFndrsngExpnsAmt,/IRS990/CYTotalFundraisingExpenseAmt,USAmountType,BigInteger,Part I Line 16b,Total fundraising expense - current year,2013,
IRS990,part_i,False,part_i,462,CYTtlPrfFndrsngExpnsAmt,/IRS990/CYTotalProfFndrsngExpnsAmt,USAmountType,BigInteger,Part I Line 16a,Total professional fundraising expense - current year,2013,
IRS990,part_i,False,part_i,545,CYTtlRvnAmt,/IRS990/CYTotalRevenueAmt,USAmountType,BigInteger,Part I Line 12,Total revenue - current year,2013,
IRS990,part_x,False,part_x,455,CpStkTrPrnCrrntFnds_BOYAmt,/IRS990/CapStkTrPrinCurrentFundsGrp/BOYAmt,USAmountType,BigInteger,Part X Line 30; Part X Column (A),"Capital stock or trust principal, or current funds; Beginnning of year",2013,
IRS990,part_x,False,part_x,14,CpStkTrPrnCrrntFnds_EOYAmt,/IRS990/CapStkTrPrinCurrentFundsGrp/EOYAmt,USAmountType,BigInteger,Part X Line 30; Part X Column (B),"Capital stock or trust principal, or current funds; Ending of year",2013,
IRS990,part_x,False,part_x,198,CshNnIntrstBrng_BOYAmt,/IRS990/CashNonInterestBearingGrp/BOYAmt,USAmountType,BigInteger,Part X Line 1; Part X Column (A),Cash - Non interest bearing; Beginnning of year,2013,
IRS990,part_x,False,part_x,556,CshNnIntrstBrng_EOYAmt,/IRS990/CashNonInterestBearingGrp/EOYAmt,USAmountType,BigInteger,Part X Line 1; Part X Column (B),Cash - Non interest bearing; Ending of year,2013,
IRS990,part_vi,False,part_vi,276,ChngTOrgDcmntsInd,/IRS990/ChangeToOrgDocumentsInd,BooleanType,String(length=5),Part VI Section A Line 4,Changes to organizing docs?,2013,
IRS990,part_vii,False,part_vii,298,CntrctRcvdGrtrThn100KCnt,/IRS990/CntrctRcvdGreaterThan100KCnt,CountType,Integer,Part VII Section B Line 2,Number of contractors greater than $100K,2013,
IRS990,part_iv,False,part_iv,17,CllctnsOfArtInd,/IRS990/CollectionsOfArtInd,,Text,Part IV Line 8,Collections of art?,2013,
IRS990,part_ix,False,part_ix,71,CmpCrrntOfcrDrctrs_FndrsngAmt,/IRS990/CompCurrentOfcrDirectorsGrp/FundraisingAmt,USAmountType,BigInteger,Part IX Line 5; col (D),"Compensation of current officers, directors, and key employees; Fundraising",2013,
IRS990,part_ix,False,part_ix,30,CmpCrrntOfcrDrctrs_MngmntAndGnrlAmt,/IRS990/CompCurrentOfcrDirectorsGrp/ManagementAndGeneralAmt,USAmountType,BigInteger,Part IX Line 5; col (C),"Compensation of current officers, directors, and key employees; Management and general",2013,
IRS990,part_ix,False,part_ix,139,CmpCrrntOfcrDrctrs_PrgrmSrvcsAmt,/IRS990/CompCurrentOfcrDirectorsGrp/ProgramServicesAmt,USAmountType,BigInteger,Part IX Line 5; col (B),"Compensation of current officers, directors, and key employees; Program services",2013,
IRS990,part_ix,False,part_ix,353,CmpCrrntOfcrDrctrs_TtlAmt,/IRS990/CompCurrentOfcrDirectorsGrp/TotalAmt,USAmountType,BigInteger,Part IX Line 5; col (A),"Compensation of current officers, directors, and key employees; Total",2013,
IRS990,part_ix,False,part_ix,97,CmpDsqlPrsns_FndrsngAmt,/IRS990/CompDisqualPersonsGrp/FundraisingAmt,USAmountType,BigInteger,Part IX Line 6; col (D),Compensation and other distributions not included above to disqualified persons; Fundraising,2013,
IRS990,part_ix,False,part_ix,417,CmpDsqlPrsns_MngmntAndGnrlAmt,/IRS990/CompDisqualPersonsGrp/ManagementAndGeneralAmt,USAmountType,BigInteger,Part IX Line 6; col (C),Compensation and other distributions not included above to disqualified persons; Management and general,2013,
IRS990,part_ix,False,part_ix,129,CmpDsqlPrsns_PrgrmSrvcsAmt,/IRS990/CompDisqualPersonsGrp/ProgramServicesAmt,USAmountType,BigInteger,Part IX Line 6; col (B),Compensation and other distributions not included above to disqualified persons; Program services,2013,
IRS990,part_ix,False,part_ix,605,CmpDsqlPrsns_TtlAmt,/IRS990/CompDisqualPersonsGrp/TotalAmt,USAmountType,BigInteger,Part IX Line 6; col (A),Compensation and other distributions not included above to disqualified persons; Total,2013,
IRS990,part_vii,False,part_vii,632,CmpnstnFrmOthrSrcsInd,/IRS990/CompensationFromOtherSrcsInd,BooleanType,String(length=5),Part VII Section A Line 5,Compensation from other sources?,2013,
IRS990,part_vi,False,part_vi,322,CmpnstnPrcssCEOInd,/IRS990/CompensationProcessCEOInd,BooleanType,String(length=5),Part VI Section B Line 15a,Compensation process CEO?,2013,
IRS990,part_vi,False,part_vi,316,CmpnstnPrcssOthrInd,/IRS990/CompensationProcessOtherInd,BooleanType,String(length=5),Part VI Section B Line 15b,Compensation process other?,2013,
IRS990,part_ix,False,part_ix,123,CnfrncsMtngs_FndrsngAmt,/IRS990/ConferencesMeetingsGrp/FundraisingAmt,USAmountType,BigInteger,Part IX Line 19; col (D),"Conferences, conventions and meetings; Fundraising",2013,
IRS990,part_ix,False,part_ix,103,CnfrncsMtngs_MngmntAndGnrlAmt,/IRS990/ConferencesMeetingsGrp/ManagementAndGeneralAmt,USAmountType,BigInteger,Part IX Line 19; col (C),"Conferences, conventions and meetings; Management and general",2013,
IRS990,part_ix,False,part_ix,124,CnfrncsMtngs_PrgrmSrvcsAmt,/IRS990/ConferencesMeetingsGrp/ProgramServicesAmt,USAmountType,BigInteger,Part IX Line 19; col (B),"Conferences, conventions and meetings; Program services",2013,
IRS990,part_ix,False,part_ix,394,CnfrncsMtngs_TtlAmt,/IRS990/ConferencesMeetingsGrp/TotalAmt,USAmountType,BigInteger,Part IX Line 19; col (A),"Conferences, conventions and meetings; Total",2013,
IRS990,part_vi,False,part_vi,119,CnflctOfIntrstPlcyInd,/IRS990/ConflictOfInterestPolicyInd,BooleanType,String(length=5),Part VI Section B Line 12a,Conflict of interest policy?,2013,
IRS990,part_iv,False,part_iv,236,CnsrvtnEsmntsInd,/IRS990/ConservationEasementsInd,,Text,Part IV Line 7,Conservation easements?,2013,
IRS990,part_iv,False,part_iv,558,CnsldtdAdtFnclStmtInd,/IRS990/ConsolidatedAuditFinclStmtInd,,Text,Part IV Line 12b,Consolidated audited financial statement?,2013,
IRS990,part_i,False,part_i,573,CntrctTrmntnInd,/IRS990/ContractTerminationInd,CheckboxType,String(length=1),Part I Line 2,Termination or contraction,2013,
IRS990,part_vii,True,CntrctrCmpnstn,199,CntrctrCmpnstn_CmpnstnAmt,/IRS990/ContractorCompensationGrp/CompensationAmt,USAmountType,BigInteger,Part VII Section B; Part VII Section B Line 1(C),Section B; Compensation,2013,
IRS990,part_vii,True,CntrctrCmpnstn,3,FrgnAddrss_AddrssLn1Txt,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine1,StreetAddressType,String(length=35),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; Address line 1,2013,2013
IRS990,part_vii,True,CntrctrCmpnstn,438,FrgnAddrss_AddrssLn1Txt,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine1Txt,StreetAddressType,String(length=35),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; Address line 1,2014,
IRS990,part_vii,True,CntrctrCmpnstn,504,FrgnAddrss_AddrssLn2Txt,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine2,StreetAddressType,String(length=35),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; Address line 2,2013,2013
IRS990,part_vii,True,CntrctrCmpnstn,617,FrgnAddrss_AddrssLn2Txt,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/AddressLine2Txt,StreetAddressType,String(length=35),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; Address line 2,2014,
IRS990,part_vii,True,CntrctrCmpnstn,463,FrgnAddrss_CtyNm,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/City,,Text,Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; City,2013,2013
IRS990,part_vii,True,CntrctrCmpnstn,478,FrgnAddrss_CtyNm,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/CityNm,,Text,Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; City,2014,
IRS990,part_vii,True,CntrctrCmpnstn,287,FrgnAddrss_CntryCd,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/Country,CountryType,String(length=2),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; Country,2013,2013
IRS990,part_vii,True,CntrctrCmpnstn,590,FrgnAddrss_CntryCd,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/CountryCd,CountryType,String(length=2),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; Country,2014,
IRS990,part_vii,True,CntrctrCmpnstn,84,FrgnAddrss_FrgnPstlCd,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/ForeignPostalCd,,Text,Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; Postal code,2014,
IRS990,part_vii,True,CntrctrCmpnstn,314,FrgnAddrss_FrgnPstlCd,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/PostalCode,,Text,Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; Postal code,2013,2013
IRS990,part_vii,True,CntrctrCmpnstn,57,FrgnAddrss_PrvncOrSttNm,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/ProvinceOrState,,Text,Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; Province or state,2013,2013
IRS990,part_vii,True,CntrctrCmpnstn,548,FrgnAddrss_PrvncOrSttNm,/IRS990/ContractorCompensationGrp/ContractorAddress/ForeignAddress/ProvinceOrStateNm,,Text,Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - Foreign; Province or state,2014,
IRS990,part_vii,True,CntrctrCmpnstn,193,USAddrss_AddrssLn1Txt,/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/AddressLine1,StreetAddressType,String(length=35),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - US; Address line 1,2013,2013
IRS990,part_vii,True,CntrctrCmpnstn,114,USAddrss_AddrssLn1Txt,/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/AddressLine1Txt,StreetAddressType,String(length=35),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - US; Address line 1,2014,
IRS990,part_vii,True,CntrctrCmpnstn,621,USAddrss_AddrssLn2Txt,/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/AddressLine2,StreetAddressType,String(length=35),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - US; Address line 2,2013,2013
IRS990,part_vii,True,CntrctrCmpnstn,345,USAddrss_AddrssLn2Txt,/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/AddressLine2Txt,StreetAddressType,String(length=35),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - US; Address line 2,2014,
IRS990,part_vii,True,CntrctrCmpnstn,575,USAddrss_CtyNm,/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/City,CityType,String(length=22),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - US; City,2013,2013
IRS990,part_vii,True,CntrctrCmpnstn,115,USAddrss_CtyNm,/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/CityNm,CityType,String(length=22),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - US; City,2014,
IRS990,part_vii,True,CntrctrCmpnstn,340,USAddrss_SttAbbrvtnCd,/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/State,StateType,String(length=2),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - US; State,2013,2013
IRS990,part_vii,True,CntrctrCmpnstn,153,USAddrss_SttAbbrvtnCd,/IRS990/ContractorCompensationGrp/ContractorAddress/USAddress/StateAbbreviationCd,StateType,String(length=2),Part VII Section B; Part VII Section B Line 1(A),Section B; Address of contractor; Address - US; State,2014,
